"elapsed_seconds","working_set_bytes","private_bytes","dedicated_gpu_bytes"
"1360","218759168","606072832","433778688"
"1362","218759168","606072832","433778688"
"1364","218759168","606072832","433778688"
"1366.1","218759168","606072832","433778688"
"1368.1","218759168","606072832","433778688"
"1370.1","218759168","606072832","433778688"
"1372.1","218759168","606072832","433778688"
"1374.2","218759168","606072832","433778688"
"1376.2","218759168","606072832","433778688"
"1378.2","218759168","606072832","433778688"
"1380.2","218759168","606072832","433778688"
"1382.3","218759168","606072832","433778688"
"1384.3","218759168","606072832","433778688"
"1386.3","218759168","606072832","433778688"
"1388.4","218759168","606072832","433778688"
"1390.4","218759168","606072832","433778688"
"1392.4","218759168","606072832","433778688"
"1394.4","218759168","606072832","433778688"
"1396.5","218759168","606072832","433778688"
"1398.5","218759168","606072832","433778688"
"1400.5","218759168","606072832","433778688"
"1402.5","218759168","606072832","433778688"
"1404.6","218759168","606072832","433778688"
"1406.6","218759168","606072832","433778688"
"1408.6","218738688","606035968","433778688"
"1410.6","218738688","606035968","433778688"
"1412.7","218738688","606035968","433778688"
"1414.7","218738688","606035968","433778688"
"1416.7","218738688","606035968","433778688"
"1418.8","218738688","606035968","433778688"
"1420.8","218759168","606072832","433778688"
"1422.8","218759168","606072832","433778688"
"1424.8","218759168","606072832","433778688"
"1426.9","218759168","606072832","433778688"
"1428.9","218759168","606072832","433778688"
"1430.9","218759168","606072832","433778688"
"1432.9","218759168","606072832","433778688"
"1435","218759168","606072832","433778688"
"1437","218759168","606072832","433778688"
"1439","218759168","606072832","433778688"
"1441.1","218759168","606072832","433778688"
"1443.1","218759168","606072832","433778688"
"1445.1","218759168","606072832","433778688"
"1447.1","218759168","606072832","433778688"
"1449.2","218759168","606072832","433778688"
"1451.2","218759168","606072832","433778688"
"1453.2","218759168","606072832","433778688"
"1455.3","218759168","606072832","433778688"
"1457.3","218759168","606072832","433778688"
"1459.3","218759168","606072832","433778688"
"1461.3","218759168","606072832","433778688"
"1463.4","218759168","606072832","433778688"
"1465.4","218759168","606072832","433778688"
"1467.4","218759168","606072832","433778688"
"1469.4","218759168","606072832","433778688"
"1471.5","218759168","606072832","433778688"
"1473.5","218759168","606072832","433778688"
"1475.5","218759168","606072832","433778688"
"1477.6","218759168","606072832","433778688"
"1479.6","218759168","606072832","433778688"
"1481.6","218759168","606072832","433778688"
"1483.6","218759168","606072832","433778688"
"1485.7","218759168","606072832","433778688"
"1487.7","218759168","606072832","433778688"
"1489.7","218759168","606072832","433778688"
"1491.7","218759168","606072832","433778688"
"1493.8","218759168","606072832","433778688"
"1495.8","218759168","606072832","433778688"
"1497.8","218759168","606072832","433778688"
"1499.9","218759168","606072832","433778688"
"1501.9","218759168","606072832","433778688"
"1503.9","218759168","606072832","433778688"
"1506","218759168","606072832","433778688"
"1508","218759168","606072832","433778688"
"1510","218759168","606072832","433778688"
"1512","218759168","606072832","433778688"
"1514.1","218759168","606072832","433778688"
"1516.1","218759168","606072832","433778688"
"1518.1","218759168","606072832","433778688"
"1520.2","218759168","606072832","433778688"
"1522.2","218759168","606072832","433778688"
"1524.2","218759168","606072832","433778688"
"1526.3","218759168","606072832","433778688"
"1528.3","218701824","606072832","433778688"
"1530.3","218701824","606072832","433778688"
"1532.3","218701824","606072832","433778688"
"1534.3","218701824","606072832","433778688"
"1536.4","218701824","606072832","433778688"
"1538.4","218701824","606072832","433778688"
"1540.4","218701824","606072832","433778688"
"1542.5","218701824","606072832","433778688"
"1544.5","218701824","606072832","433778688"
"1546.5","218701824","606072832","433778688"
